"stream","reach","quadrat","shrub","fruit_number","fruit_quality","fruit_count","weight","brix_value","total_seed_count","relative_soil_moisture","relative_moisture_scaled","stem_density","stem_density_scaled","canopy_cover","canopy_cover_scaled","distance_upstream","distance_upstream_scaled","distance_from_stream","distance_from_stream_scaled","salmon_density","salmon_density_scaled","chum_density","chum_density_scaled","pink_density","pink_density_scaled","northness","northness_scaled","eastness","eastness_scaled"
"goatbushu",2,"C","2-C",1,"R",1,0.516,4.4,69,16,0.0344614366073162,3,-0.660798744762239,81,-0.510981448377097,66,-0.661116477758392,7.8,3.03385340291787,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,-0.0174524064372835,-0.0800818523243418,-0.999847695156391,-1.29020297743639
"goatbushu",3,"A","3-A",1,"R",6,1.89,5.7,62,9,-0.423460256076205,7,0.859679920370292,66,-2.23527100602359,80,-0.541192771490326,0.5,-0.648013721372398,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,-0.5,-0.803732357896362,-0.866025403784438,-1.11051378100875
"goatbushu",3,"A","3-A",2,"R",6,1.247,4.2,53,9,-0.423460256076205,7,0.859679920370292,66,-2.23527100602359,80,-0.541192771490326,0.5,-0.648013721372398,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,-0.5,-0.803732357896362,-0.866025403784438,-1.11051378100875
"goatbushu",3,"A","3-A",3,"R",6,2.61,6.3,91,9,-0.423460256076205,7,0.859679920370292,66,-2.23527100602359,80,-0.541192771490326,0.5,-0.648013721372398,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,-0.5,-0.803732357896362,-0.866025403784438,-1.11051378100875
"goatbushu",3,"A","3-A",4,"R",6,1.145,5.8,61,9,-0.423460256076205,7,0.859679920370292,66,-2.23527100602359,80,-0.541192771490326,0.5,-0.648013721372398,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,-0.5,-0.803732357896362,-0.866025403784438,-1.11051378100875
"goatbushu",3,"B","3-B",1,"R",6,1.761,7.9,71,26.8,0.74096919103332,4,-0.280679078479107,90,0.5235922862108,86,-0.48979689737544,3,0.612899677357145,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,-0.587785252292473,-0.935379148908612,0.809016994374947,1.13864082112628
"goatbushu",3,"B","3-B",2,"R",6,1.621,8.9,57,26.8,0.74096919103332,4,-0.280679078479107,90,0.5235922862108,86,-0.48979689737544,3,0.612899677357145,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,-0.587785252292473,-0.935379148908612,0.809016994374947,1.13864082112628
"goatbushu",3,"B","3-B",3,"R",6,1.679,6.1,40,26.8,0.74096919103332,4,-0.280679078479107,90,0.5235922862108,86,-0.48979689737544,3,0.612899677357145,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,-0.587785252292473,-0.935379148908612,0.809016994374947,1.13864082112628
"goatbushu",3,"B","3-B",4,"R",6,0.954,1.5,37,26.8,0.74096919103332,4,-0.280679078479107,90,0.5235922862108,86,-0.48979689737544,3,0.612899677357145,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,-0.587785252292473,-0.935379148908612,0.809016994374947,1.13864082112628
"goatbushu",3,"D","3-D",1,"R",7,1.546,7,35,7.1,-0.547753286947447,5,0.0994405878040263,89,0.408639649034367,118,-0.215685568762715,1.2,-0.294957969728126,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,0.17364817766693,0.206501349305798,0.984807753012208,1.37468296205135
